,x
722,1305.61
723,1307.27
724,1308.92
725,1310.57
726,1312.22
727,1313.87
728,1315.52
729,1317.17
730,1318.81
731,1320.46
732,1322.11
733,1323.75
734,1325.4
735,1327.05
736,1328.69
737,1330.33
738,1331.98
739,1333.62
740,1335.26
741,1336.9
742,1338.55
743,1340.19
744,1341.83
745,1343.47
746,1345.11
747,1346.74
748,1348.38
749,1350.02
750,1351.66
751,1353.29
752,1354.93
753,1356.56
754,1358.2
755,1359.83
756,1361.47
757,1363.1
758,1364.73
759,1366.36
760,1367.99
761,1369.63
762,1371.26
763,1372.89
764,1374.51
765,1376.14
766,1377.77
767,1379.4
768,1381.02
769,1382.65
770,1384.28
771,1385.9
772,1387.53
773,1389.15
774,1390.77
775,1392.4
776,1394.02
777,1395.64
778,1397.26
779,1398.88
780,1400.5
781,1402.12
782,1403.74
783,1405.36
784,1406.98
785,1408.6
786,1410.21
787,1411.83
788,1413.45
789,1415.06
790,1416.68
791,1418.29
792,1419.91
793,1421.52
794,1423.13
795,1424.74
796,1426.35
797,1427.97
798,1429.58
799,1431.19
800,1432.8
801,1434.4
802,1436.01
803,1437.62
804,1439.23
805,1440.83
806,1442.44
807,1444.05
808,1445.65
809,1447.26
810,1448.86
811,1450.46
812,1452.07
813,1453.67
814,1455.27
815,1456.87
816,1458.47
817,1460.07
818,1461.67
819,1463.27
820,1464.87
821,1466.47
822,1468.06
823,1469.66
824,1471.26
825,1472.85
826,1474.45
827,1476.04
828,1477.64
829,1479.23
830,1480.82
831,1482.42
832,1484.01
833,1485.6
834,1487.19
835,1488.78
836,1490.37
837,1491.96
838,1493.55
839,1495.14
840,1496.73
841,1498.31
842,1499.9
843,1501.49
844,1503.07
845,1504.66
846,1506.24
847,1507.83
848,1509.41
849,1510.99
850,1512.57
851,1514.16
852,1515.74
853,1517.32
854,1518.9
855,1520.48
856,1522.06
857,1523.64
858,1525.22
859,1526.79
860,1528.37
861,1529.95
862,1531.52
863,1533.1
864,1534.67
865,1536.25
866,1537.82
867,1539.4
868,1540.97
869,1542.54
870,1544.11
871,1545.68
872,1547.25
873,1548.82
874,1550.39
875,1551.96
876,1553.53
877,1555.1
878,1556.67
879,1558.24
880,1559.8
881,1561.37
882,1562.93
883,1564.5
884,1566.06
885,1567.63
886,1569.19
887,1570.75
888,1572.32
889,1573.88
890,1575.44
891,1577.0
892,1578.56
893,1580.12
894,1581.68
895,1583.24
896,1584.8
897,1586.35
898,1587.91
899,1589.47
900,1591.02
901,1592.58
902,1594.13
903,1595.69
904,1597.24
905,1598.8
906,1600.35
907,1601.9
908,1603.45
909,1605.01
910,1606.56
911,1608.11
912,1609.66
913,1611.21
914,1612.76
915,1614.3
916,1615.85
917,1617.4
918,1618.95
919,1620.49
920,1622.04
921,1623.58
922,1625.13
923,1626.67
924,1628.22
925,1629.76
926,1631.3
927,1632.84
928,1634.39
929,1635.93
930,1637.47
931,1639.01
932,1640.55
933,1642.09
934,1643.62
935,1645.16
936,1646.7
937,1648.24
938,1649.77
939,1651.31
940,1652.84
941,1654.38
942,1655.91
943,1657.45
944,1658.98
945,1660.51
946,1662.05
947,1663.58
948,1665.11
949,1666.64
950,1668.17
951,1669.7
952,1671.23
953,1672.76
954,1674.29
955,1675.82
956,1677.34
957,1678.87
958,1680.4
959,1681.92
960,1683.45
961,1684.97
962,1686.5
963,1688.02
964,1689.54
965,1691.07
966,1692.59
967,1694.11
